baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025813.14	498.842739480972	3.09325910290094	0.141097947675197	21.9227788487861	1.57541080838116e-106	3.96702342233979e-104
ENSMUSG00000044017.16	438.355794661699	6.25597127120381	0.285479001504109	21.9139454679428	1.91272831816116e-106	4.74661550606862e-104
ENSMUSG00000024011.17	380.337088980472	5.16362980882285	0.235875071744497	21.8913756788007	3.138971816692e-106	7.67837348817389e-104
ENSMUSG00000068876.16	634.250667051546	7.56334882610825	0.346582878072728	21.8226268653731	1.41493765492477e-105	3.41239119229251e-103
ENSMUSG00000038732.15	747.025059459095	2.98457021515718	0.136818339833708	21.8141092691572	1.7045723916839e-105	4.05380459205602e-103
ENSMUSG00000056724.15	627.628228699973	3.19696433196545	0.146994904794077	21.7488105213172	7.0894072996636e-105	1.66290303002931e-102
ENSMUSG00000037411.10	7329.97958821026	-2.11581267748318	0.0974073686805888	-21.7212794693305	1.29132220817771e-104	2.98801488792256e-102
ENSMUSG00000026110.15	401.219163763567	3.47894399992528	0.160452615142176	21.6820648067506	3.02977938460195e-104	6.91718832033856e-102
ENSMUSG00000044041.4	962.596954621231	8.68555111180359	0.403737963606815	21.5128422262072	1.18045332488568e-102	2.65959240552862e-100
ENSMUSG00000033987.16	751.897486990327	4.68635637644222	0.218540029563321	21.4439267067289	5.20327065943183e-102	1.15708575975911e-99
ENSMUSG00000003526.12	343.947376772791	4.91941429485024	0.229760071527203	21.4110931553562	1.05313271607536e-101	2.31189634581517e-99
ENSMUSG00000063727.3	1658.8192226299	-2.42459116590271	0.114155013732204	-21.2394627851436	4.12581165094375e-100	8.94256618976074e-98
ENSMUSG00000044646.15	626.335191234175	3.27834335182119	0.154394031634252	21.2336145194222	4.67268505342657e-100	1.00012982712279e-97
ENSMUSG00000033644.5	532.225643417402	7.23767104789121	0.34135578049392	21.2027200401258	9.01335832981345e-100	1.90537944051106e-97
ENSMUSG00000003279.17	465.974151407367	6.62657648145258	0.313023279738586	21.1695963539408	1.82110392135308e-99	3.80277590796692e-97
ENSMUSG00000022665.15	15880.490945028	-1.66919058554731	0.0792698674843987	-21.057062898154	1.97017043678955e-98	4.06448534809006e-96
ENSMUSG00000023043.7	431.353273609468	6.14814437945232	0.292938010637521	20.9878682731275	8.46583297277777e-98	1.7257197380104e-95
ENSMUSG00000022055.7	422.223104398783	5.57279899247645	0.26581723422656	20.9647768275501	1.37564514364752e-97	2.77119668172665e-95
